"year","month","affected_local_code","policy_type","policy_category"
2020,1,"19119",0,0
2020,1,"19009",0,0
2020,1,"19039",0,0
2020,1,"19141",0,0
2020,1,"19189",0,0
2020,1,"19091",0,0
2020,1,"19117",0,0
2020,1,"19093",0,0
2020,1,"19179",0,0
2020,1,"19007",0,0
2020,1,"19135",0,0
2020,1,"19147",0,0
2020,1,"19081",0,0
2020,1,"19177",0,0
2020,1,"19161",0,0
2020,1,"19133",0,0
2020,1,"19037",0,0
2020,1,"19087",0,0
2020,1,"19003",0,0
2020,1,"20045",0,0
2020,1,"20091",0,0
2020,1,"20209",0,0
2020,1,"20027",0,0
2020,1,"20103",0,0
2020,1,"23013",0,0
2020,1,"31015",0,0
2020,1,"23015",0,0
2020,1,"31017",0,0
2020,1,"23005",0,0
2020,1,"31031",0,0
2020,1,"31139",0,0
2020,1,"31149",0,0
2020,1,"31003",0,0
2020,1,"31089",0,0
2020,1,"31103",0,0
2020,1,"23027",0,0
2020,1,"23023",0,0
2020,1,"23009",0,0
2020,1,"24021",0,0
2020,1,"24510",0,0
2020,1,"24031",0,0
2020,1,"24033",0,0
2020,1,"24017",0,0
2020,1,"36005",0,0
2020,1,"36047",0,0
2020,1,"36081",0,0
2020,1,"36085",0,0
2020,1,"25025",0,0
2020,1,"25027",0,0
2020,1,"36059",0,0
2020,1,"36061",0,0
2020,1,"28073",0,0
2020,1,"28057",0,0
2020,1,"28149",0,0
2020,1,"28081",0,0
2020,1,"28059",0,0
2020,1,"28163",0,0
2020,1,"28023",0,0
2020,1,"28137",0,0
2020,1,"28125",0,0
2020,1,"28049",0,0
2020,1,"28043",0,0
2020,1,"28161",0,0
2020,1,"28113",0,0
2020,1,"28031",0,0
2020,1,"28009",0,0
2020,1,"28067",0,0
2020,1,"28139",0,0
2020,1,"28089",0,0
2020,1,"28037",0,0
2020,1,"28033",0,0
2020,1,"28047",0,0
2020,1,"28063",0,0
2020,1,"28013",0,0
2020,1,"28133",0,0
2020,1,"28007",0,0
2020,1,"28015",0,0
2020,1,"28119",0,0
2020,1,"28011",0,0
2020,1,"28107",0,0
2020,1,"28117",0,0
2020,1,"28087",0,0
2020,1,"28115",0,0
2020,1,"28143",0,0
2020,1,"28075",0,0
2020,1,"28153",0,0
2020,1,"28147",0,0
2020,1,"28025",0,0
2020,1,"28121",0,0
2020,1,"28027",0,0
2020,1,"28145",0,0
2020,1,"28035",0,0
2020,1,"28029",0,0
2020,1,"28065",0,0
2020,1,"28083",0,0
2020,1,"28021",0,0
2020,1,"28151",0,0
2020,1,"28003",0,0
2020,1,"28105",0,0
2020,1,"28103",0,0
2020,1,"28093",0,0
2020,1,"28005",0,0
2020,1,"28123",0,0
2020,1,"28001",0,0
2020,1,"28053",0,0
2020,1,"28097",0,0
2020,1,"28091",0,0
2020,1,"28109",0,0
2020,1,"28135",0,0
2020,1,"28079",0,0
2020,1,"28069",0,0
2020,1,"28159",0,0
2020,1,"28077",0,0
2020,1,"28039",0,0
2020,1,"28155",0,0
2020,1,"28085",0,0
2020,1,"28131",0,0
2020,1,"28141",0,0
2020,1,"28101",0,0
2020,1,"28019",0,0
2020,1,"28127",0,0
2020,1,"28041",0,0
2020,1,"28017",0,0
2020,1,"28095",0,0
2020,1,"28111",0,0
2020,1,"28129",0,0
2020,1,"28045",0,0
2020,1,"28157",0,0
2020,1,"28071",0,0
2020,1,"54107",0,0
2020,1,"54011",0,0
2020,1,"29189",0,0
2020,1,"31079",0,0
2020,1,"31181",0,0
2020,1,"31023",0,0
2020,1,"31099",0,0
2020,1,"31045",0,0
2020,1,"31055",0,0
2020,1,"31039",0,0
2020,1,"31167",0,0
2020,1,"31013",0,0
2020,1,"31043",0,0
2020,1,"31069",0,0
2020,1,"31019",0,0
2020,1,"31075",0,0
2020,1,"31111",0,0
2020,1,"31083",0,0
2020,1,"31081",0,0
2020,1,"31057",0,0
2020,1,"31053",0,0
2020,1,"31155",0,0
2020,1,"31077",0,0
2020,1,"31121",0,0
2020,1,"31047",0,0
2020,1,"31185",0,0
2020,1,"31147",0,0
2020,1,"31119",0,0
2020,1,"31115",0,0
2020,1,"31067",0,0
2020,1,"31137",0,0
2020,1,"31153",0,0
2020,1,"31177",0,0
2020,1,"31097",0,0
2020,1,"31041",0,0
2020,1,"31101",0,0
2020,1,"31061",0,0
2020,1,"31113",0,0
2020,1,"31165",0,0
2020,1,"31135",0,0
2020,1,"31051",0,0
2020,1,"31105",0,0
2020,1,"31025",0,0
2020,1,"31087",0,0
2020,1,"31073",0,0
2020,1,"31159",0,0
2020,1,"31035",0,0
2020,1,"31063",0,0
2020,1,"31141",0,0
2020,1,"31151",0,0
2020,1,"31161",0,0
2020,1,"31021",0,0
2020,1,"31037",0,0
2020,1,"31007",0,0
2020,1,"31085",0,0
2020,1,"31145",0,0
2020,1,"31123",0,0
2020,1,"31179",0,0
2020,1,"31065",0,0
2020,1,"31093",0,0
2020,1,"31171",0,0
2020,1,"31169",0,0
2020,1,"31071",0,0
2020,1,"31175",0,0
2020,1,"31163",0,0
2020,1,"31143",0,0
2020,1,"31125",0,0
2020,1,"31095",0,0
2020,1,"31001",0,0
2020,1,"31129",0,0
2020,1,"31127",0,0
2020,1,"31091",0,0
2020,1,"31173",0,0
2020,1,"31033",0,0
2020,1,"31157",0,0
2020,1,"31049",0,0
2020,1,"31029",0,0
2020,1,"31183",0,0
2020,1,"31131",0,0
2020,1,"31133",0,0
2020,1,"31059",0,0
2020,1,"31117",0,0
2020,1,"31027",0,0
2020,1,"31107",0,0
2020,1,"31011",0,0
2020,1,"31109",0,0
2020,1,"31009",0,0
2020,1,"56015",0,0
2020,1,"31005",0,0
2020,1,"32033",0,0
2020,1,"32023",0,0
2020,1,"32013",0,0
2020,1,"32011",0,0
2020,1,"08035",0,0
2020,1,"32017",0,0
2020,1,"32009",0,0
2020,1,"32019",0,0
2020,1,"32015",0,0
2020,1,"32029",0,0
2020,1,"32003",0,0
2020,1,"32021",0,0
2020,1,"32001",0,0
2020,1,"32031",0,0
2020,1,"32027",0,0
2020,1,"32510",0,0
2020,1,"35025",0,0
2020,1,"35017",0,0
2020,1,"35003",0,0
2020,1,"35057",0,0
2020,1,"35047",0,0
2020,1,"35041",0,0
2020,1,"35009",0,0
2020,1,"35045",0,0
2020,1,"35061",0,0
2020,1,"35001",0,0
2020,1,"35027",0,0
2020,1,"35023",0,0
2020,1,"35029",0,0
2020,1,"35019",0,0
2020,1,"35049",0,0
2020,1,"35051",0,0
2020,1,"35055",0,0
2020,1,"35006",0,0
2020,1,"35028",0,0
2020,1,"35031",0,0
2020,1,"35005",0,0
2020,1,"35059",0,0
2020,1,"35043",0,0
2020,1,"35039",0,0
2020,1,"35013",0,0
2020,1,"35015",0,0
2020,1,"35035",0,0
2020,1,"35037",0,0
2020,1,"35011",0,0
2020,1,"35007",0,0
2020,1,"35033",0,0
2020,1,"35053",0,0
2020,1,"35021",0,0
2020,1,"36027",0,0
2020,1,"36071",0,0
2020,1,"36079",0,0
2020,1,"36087",0,0
2020,1,"36103",0,0
2020,1,"36105",0,0
2020,1,"36111",0,0
2020,1,"36119",0,0
2020,1,"36001",0,0
2020,1,"36003",0,0
2020,1,"36009",0,0
2020,1,"36013",0,0
2020,1,"36019",0,0
2020,1,"36021",0,0
2020,1,"36029",0,0
2020,1,"36031",0,0
2020,1,"36033",0,0
2020,1,"36039",0,0
2020,1,"36041",0,0
2020,1,"36045",0,0
2020,1,"36049",0,0
2020,1,"36063",0,0
2020,1,"36083",0,0
2020,1,"36091",0,0
2020,1,"36093",0,0
2020,1,"36089",0,0
2020,1,"36113",0,0
2020,1,"36115",0,0
2020,1,"36095",0,0
2020,1,"39035",0,0
2020,1,"39145",0,0
2020,1,"39095",0,0
2020,1,"39139",0,0
2020,1,"39173",0,0
2020,1,"39009",0,0
2020,1,"39077",0,0
2020,1,"39113",0,0
2020,1,"39017",0,0
2020,1,"39129",0,0
2020,1,"39049",0,0
2020,1,"39153",0,0
2020,1,"39093",0,0
2020,1,"39045",0,0
2020,1,"39025",0,0
2020,1,"39089",0,0
2020,1,"39041",0,0
2020,1,"39155",0,0
2020,1,"39061",0,0
2020,1,"39159",0,0
2020,1,"39003",0,0
2020,1,"41031",0,0
2020,1,"41025",0,0
2020,1,"41041",0,0
2020,1,"41017",0,0
2020,1,"41027",0,0
2020,1,"41001",0,0
2020,1,"41055",0,0
2020,1,"41003",0,0
2020,1,"41067",0,0
2020,1,"41053",0,0
2020,1,"41035",0,0
2020,1,"41015",0,0
2020,1,"41047",0,0
2020,1,"41023",0,0
2020,1,"41007",0,0
2020,1,"41061",0,0
2020,1,"41011",0,0
2020,1,"41021",0,0
2020,1,"41059",0,0
2020,1,"41049",0,0
2020,1,"41019",0,0
2020,1,"41009",0,0
2020,1,"41005",0,0
2020,1,"41037",0,0
2020,1,"41065",0,0
2020,1,"41051",0,0
2020,1,"41045",0,0
2020,1,"41043",0,0
2020,1,"41013",0,0
2020,1,"41063",0,0
2020,1,"41057",0,0
2020,1,"41069",0,0
2020,1,"41071",0,0
2020,1,"41033",0,0
2020,1,"41039",0,0
2020,1,"41029",0,0
2020,1,"42073",0,0
2020,1,"42027",0,0
2020,1,"42031",0,0
2020,1,"42009",0,0
2020,1,"42049",0,0
2020,1,"42035",0,0
2020,1,"42113",0,0
2020,1,"42039",0,0
2020,1,"42019",0,0
2020,1,"42089",0,0
2020,1,"42053",0,0
2020,1,"42057",0,0
2020,1,"42033",0,0
2020,1,"42021",0,0
2020,1,"42051",0,0
2020,1,"42105",0,0
2020,1,"42081",0,0
2020,1,"42083",0,0
2020,1,"42085",0,0
2020,1,"42047",0,0
2020,1,"42063",0,0
2020,1,"42013",0,0
2020,1,"42093",0,0
2020,1,"42003",0,0
2020,1,"42005",0,0
2020,1,"42111",0,0
2020,1,"42015",0,0
2020,1,"42059",0,0
2020,1,"42117",0,0
2020,1,"42119",0,0
2020,1,"42065",0,0
2020,1,"42109",0,0
2020,1,"42023",0,0
2020,1,"42123",0,0
2020,1,"42097",0,0
2020,1,"42125",0,0
2020,1,"42133",0,0
2020,1,"42121",0,0
2020,1,"42129",0,0
2020,1,"45057",0,0
2020,1,"45055",0,0
2020,1,"   NA",0,0
2020,1,"46083",0,0
2020,1,"46099",0,0
2020,1,"47037",0,0
2020,1,"48113",0,0
2020,1,"48141",0,0
2020,1,"48029",0,0
2020,1,"48439",0,0
2020,1,"48453",0,0
2020,1,"48003",0,0
2020,1,"48001",0,0
2020,1,"49043",0,0
2020,1,"49053",0,0
2020,1,"49055",0,0
2020,1,"49017",0,0
2020,1,"49027",0,0
2020,1,"49041",0,0
2020,1,"49015",0,0
2020,1,"49023",0,0
2020,1,"49057",0,0
2020,1,"49033",0,0
2020,1,"49013",0,0
2020,1,"49025",0,0
2020,1,"49039",0,0
2020,1,"49003",0,0
2020,1,"49037",0,0
2020,1,"49029",0,0
2020,1,"49051",0,0
2020,1,"49021",0,0
2020,1,"49005",0,0
2020,1,"49007",0,0
2020,1,"49011",0,0
2020,1,"49019",0,0
2020,1,"49045",0,0
2020,1,"49049",0,0
2020,1,"49035",0,0
2020,1,"49009",0,0
2020,1,"49047",0,0
2020,1,"49001",0,0
2020,1,"49031",0,0
2020,1,"51095",0,0
2020,1,"51131",0,0
2020,1,"51810",0,0
2020,1,"51510",0,0
2020,1,"51175",0,0
2020,1,"51740",0,0
2020,1,"51800",0,0
2020,1,"51013",0,0
2020,1,"51059",0,0
2020,1,"51600",0,0
2020,1,"51187",0,0
2020,1,"51107",0,0
2020,1,"51153",0,0
2020,1,"51683",0,0
2020,1,"51685",0,0
2020,1,"51610",0,0
2020,1,"51001",0,0
2020,1,"51760",0,0
2020,1,"51550",0,0
2020,1,"51620",0,0
2020,1,"51650",0,0
2020,1,"51093",0,0
2020,1,"51700",0,0
2020,1,"51710",0,0
2020,1,"51735",0,0
2020,1,"51199",0,0
2020,1,"51830",0,0
2020,1,"53023",0,0
2020,1,"53043",0,0
2020,1,"53051",0,0
2020,1,"53059",0,0
2020,1,"53065",0,0
2020,1,"53069",0,0
2020,1,"53075",0,0
2020,1,"53033",0,0
2020,1,"53005",0,0
2020,1,"53021",0,0
2020,1,"53017",0,0
2020,1,"53001",0,0
2020,1,"53011",0,0
2020,1,"53015",0,0
2020,1,"53025",0,0
2020,1,"53027",0,0
2020,1,"53029",0,0
2020,1,"53031",0,0
2020,1,"53035",0,0
2020,1,"53037",0,0
2020,1,"53039",0,0
2020,1,"53041",0,0
2020,1,"53045",0,0
2020,1,"53047",0,0
2020,1,"53049",0,0
2020,1,"53053",0,0
2020,1,"53055",0,0
