"GEOID","population_25_years_and_over","population_25_years_and_overless_than_9th_grade","population_25_years_and_over9th_to_12th_grade_no_diploma","population_25_years_and_overhigh_school_graduate_includes_equivalency","population_25_years_and_oversome_college_no_degree","population_25_years_and_overassociates_degree","population_25_years_and_overbachelors_degree","population_25_years_and_overgraduate_or_professional_degree","population_25_years_and_overhigh_school_graduate_or_higher","population_25_years_and_overbachelors_degree_or_higher","SHAPE_Length","SHAPE_Area"
"22029",12677,1034,1354,5470,2165,691,1262,701,10289,1963,3.72684052251096,0.18363813333612
"22031",18319,1027,2184,7636,3584,1243,1682,963,15108,2645,2.34934084830814,0.22122974118455
"22033",289379,8703,18965,74591,62705,15867,64735,43813,261711,108548,2.22097476105837,0.114516092938499
"22035",4960,294,1414,1769,840,137,445,61,3252,506,2.4494389353684,0.110295124449189
"22037",14548,549,2179,5871,2703,931,1660,655,11820,2315,1.84719346085264,0.111286528964684
"22039",21435,2334,3037,8465,3373,1531,2071,624,16064,2695,1.99970019288948,0.165781506104996
"22041",13397,1133,1967,5483,2175,656,1279,704,10297,1983,2.85454406775843,0.1572028249575
"22043",15926,876,2116,6646,3250,1205,1462,371,12934,1833,2.76449127747015,0.163639012011504
"22045",46229,2862,4760,20129,8006,3791,5085,1596,38607,6681,3.18245922932124,0.149842072310382
"22047",21744,1711,2673,8640,3544,1773,2257,1146,17360,3403,2.16082316947833,0.158503010712502
"22049",10798,628,1175,4783,2001,875,972,364,8995,1336,1.69275558884229,0.144026931656995
"22051",309014,16579,24237,90304,69173,20180,57776,30765,268198,88541,3.26429065105251,0.123520597798937
"22053",21552,1205,2472,9310,3736,1270,1984,1575,17875,3559,2.54249135545259,0.159914075111003
"22055",162259,6017,11340,48271,32247,9344,37013,18027,144902,55040,1.49189685635184,0.0653269938360031
"22057",66847,5021,7732,27700,10599,4199,7690,3906,54094,11596,4.12985518897621,0.299231930830394
"22059",9906,576,1299,3917,1699,735,1156,524,8031,1680,2.4831569872267,0.163232381744003
"22061",26493,946,2002,7217,4912,1452,5938,4026,23545,9964,1.55611077444496,0.117516712550001
"22063",93440,4029,7785,34643,21313,6747,13383,5540,81626,18923,2.20314168639224,0.168173569128999
"22065",6779,572,1093,2213,1533,346,764,258,5114,1022,3.0416296372331,0.16144806355267
"22067",17455,1053,2433,7169,3463,1334,1502,501,13969,2003,2.61814349195859,0.201026812818386
"22069",22733,696,2269,8634,3914,2304,2963,1953,19768,4916,3.59020653141743,0.320275956458492
"22071",274825,9638,22860,61685,59306,13875,60202,47259,242327,107461,1.85194005626426,0.0843835395260075
"22073",104736,3598,8778,34905,25029,6400,17154,8872,92360,26026,1.9611811833185,0.156940052936497
"22075",15367,1282,1040,5444,3888,1080,1930,703,13045,2633,6.35939911302106,0.28688317965206
"22077",14619,942,1815,5424,3254,959,1731,494,11862,2225,2.39109980797089,0.143974754528999
"22079",86707,3943,7325,32582,18635,5547,11932,6743,75439,18675,3.48750117076826,0.333691319834499
"22081",5255,187,786,2689,740,204,475,174,4282,649,1.73103609822562,0.0995077133280035
"22083",13760,701,2238,5462,2498,746,1181,934,10821,2115,2.581866284564,0.140137346319504
"22085",15308,580,1546,7276,3011,943,1339,613,13182,1952,2.94454829411311,0.248842247434602
"22087",28860,1405,3940,8887,7941,2456,2827,1404,23515,4231,5.83028338607142,0.149289489505751
"22089",35287,1112,2168,11356,7764,2849,7704,2334,32007,10038,1.47229691101824,0.0960360819144977
"22091",7523,607,1090,3266,1199,428,568,365,5826,933,1.60217870452183,0.100009379418661
"22093",14131,433,1546,5531,2828,1212,1789,792,12152,2581,1.21661976098845,0.0612479518235017
"22095",28326,883,3043,10965,6522,2376,2850,1687,24400,4537,1.74108138892207,0.099421577989498
"22097",53940,4735,7010,20958,9487,3819,5147,2784,42195,7931,2.82343420600618,0.228787441529503
"22099",35308,2208,3523,16412,5962,1956,3905,1342,29577,5247,3.70595913699928,0.198054345202995
"22101",34244,2203,4280,15934,5289,2373,2803,1362,27761,4165,2.38891042033896,0.166482930356281
"22103",180157,5206,10471,44252,41228,13401,42265,23334,164480,65599,2.63122047898968,0.264010029172667
"22105",86705,5745,9497,31218,16058,5825,12492,5870,71463,18362,2.34047506764701,0.205629179124286
"22107",2964,127,532,1296,538,75,283,113,2305,396,2.66455479281099,0.158545447396083
"22109",73326,5967,7868,27924,14705,4736,7787,4339,59491,12126,4.64195020809296,0.35770135162523
"22111",14886,589,1416,6899,2759,748,1902,573,12881,2475,2.26774631861685,0.22575835238413
"22113",38388,2083,4377,15794,6588,2860,4858,1828,31928,6686,3.47994827908175,0.313468600758974
"22115",30038,977,2622,11896,6636,2331,3983,1593,26439,5576,2.84595904201555,0.328190562078328
"22117",31218,1802,3941,13975,6341,1830,2141,1188,25475,3329,2.10473585506064,0.165110959244641
"22119",25846,1159,2594,11104,5279,1983,2652,1075,22093,3727,2.17731647443555,0.153137041294779
"22121",18699,697,1705,6925,4024,1433,2859,1056,16297,3915,1.39900765436995,0.0495894451750025
"22123",6913,481,850,3314,1225,252,442,349,5582,791,1.69175015648775,0.0898728817061954
"22125",11850,582,1478,4168,2324,594,1979,725,9790,2704,2.28677418728704,0.104097512334815
"22127",9944,573,1238,4624,1568,544,907,490,8133,1397,2.50613155104369,0.236336034856497
"23001",76816,2553,3755,27322,16228,9351,11811,5796,70508,17607,1.97964602320216,0.144857263568498
"23003",49894,1836,2969,18973,10303,5680,6913,3220,45089,10133,8.06755293775207,2.07835850582453
"23005",219290,3638,5865,44666,36460,19434,66136,43091,209787,109227,6.11566088142389,0.275815738513197
"23007",21389,243,1101,7839,4094,2094,3825,2193,20045,6018,4.55560546907782,0.514979822597679
"23009",42378,605,1420,13222,8067,4018,9333,5713,40353,15046,10.9957170242502,0.515314519775891
"23011",89088,2187,3342,30621,17475,8995,16732,9736,83559,26468,2.99371356468085,0.278378335463491
"23013",30824,439,1537,9759,5375,2526,6857,4331,28848,11188,5.32558694330068,0.119093476466375
"23015",26907,462,1174,8609,4223,2330,5938,4171,25271,10109,3.08773761176263,0.150199845593037
"23017",43461,950,2601,17591,7855,5288,6305,2871,39910,9176,5.38208480384499,0.63781267511571
"23019",108593,2199,4809,35630,21402,11966,20056,12531,101585,32587,6.52568919870394,1.05902314815151
"23021",12911,554,559,5043,2607,1529,1898,721,11798,2619,5.99240218053448,1.3129476426615
"23023",27511,515,1108,7851,5005,2510,5972,4550,25888,10522,1.87435041374819,0.0865709092434364
