"GEOID","population_25_years_and_over","population_25_years_and_overless_than_9th_grade","population_25_years_and_over9th_to_12th_grade_no_diploma","population_25_years_and_overhigh_school_graduate_includes_equivalency","population_25_years_and_oversome_college_no_degree","population_25_years_and_overassociates_degree","population_25_years_and_overbachelors_degree","population_25_years_and_overgraduate_or_professional_degree","population_25_years_and_overhigh_school_graduate_or_higher","population_25_years_and_overbachelors_degree_or_higher","SHAPE_Length","SHAPE_Area"
"51650",91658,2202,4615,26702,23072,10031,15189,9847,84841,25036,0.679541762589777,0.0154292628292612
"51085",75856,1596,3098,19113,15077,6217,19555,11200,71162,30755,2.56302792516224,0.125129458089005
"51660",26548,2273,2143,7029,3960,1971,5230,3942,22132,9172,0.365815254089765,0.00465128445600143
"51087",231190,6639,10202,50538,43464,16430,61445,42472,214349,103917,2.08668755486133,0.0646541522404993
"51089",37437,2834,4328,12836,7531,4237,3628,2043,30275,5671,1.81866439526166,0.100368600733234
"51091",1688,54,79,686,341,54,302,172,1555,474,1.6140246522161,0.111060022933062
"51670",15135,607,1632,5905,3571,1694,1237,489,12896,1726,0.298158799138859,0.00284861436849942
"51093",27469,608,1875,8090,6265,2628,4931,3072,24986,8003,1.84662179410476,0.0844492959352989
"51095",56345,862,1628,10888,9574,4950,14767,13676,53855,28443,1.68846096104032,0.0411090597473685
"51097",5240,154,461,1988,1081,441,834,281,4625,1115,2.33086290170251,0.0863691405384996
"51099",17651,490,871,5015,3844,1270,3648,2513,16290,6161,1.33842176112764,0.0496610801791153
"51101",12078,263,633,4002,3045,1125,2240,770,11182,3010,2.55846389970603,0.0756617248620004
"51103",8688,308,569,2699,1520,695,1541,1356,7811,2897,1.29037642186388,0.0379339615984534
"51105",16969,1611,1817,5998,4651,1061,1421,410,13541,1831,2.15841645703226,0.11422248592032
"51678",3188,47,66,646,365,135,955,974,3075,1929,0.140048165735651,0.00066795409599968
"51107",266804,7867,7965,30890,35836,16218,93921,74107,250972,168028,1.91047125901544,0.140551437446735
"51109",27131,995,1945,9540,5567,2078,4184,2822,24191,7006,1.93381506658642,0.1353648177015
"51111",8702,574,1190,3413,1903,599,683,340,6938,1023,1.65938121552681,0.113277520141
"51680",44230,1657,2843,10521,8537,3742,9968,6962,39730,16930,0.641194324554961,0.013054734079001
"51113",10001,410,826,3537,2041,720,1433,1034,8765,2467,1.52926683878403,0.0859872296394991
"51683",27684,2099,1821,7710,4813,2352,5337,3552,23764,8889,0.333315126997759,0.00265279745700031
"51685",11188,1409,877,3162,1819,1056,2037,828,8902,2865,0.207634490881691,0.00081463678849973
"51690",8909,398,642,2729,1809,1360,1323,648,7869,1971,0.288981107407904,0.00287596010449998
"51115",6437,137,337,1869,1538,632,1409,515,5963,1924,0.94720169096527,0.0258882498055309
"51117",22521,1206,1842,7779,4271,2390,3197,1836,19473,5033,2.31940256805469,0.177383149952872
"51119",8438,385,632,2470,1806,856,1441,848,7421,2289,1.40458164168229,0.036908789186598
"51121",56661,856,2438,13305,10309,3746,12148,13859,53367,26007,1.89205566856323,0.102302828752002
"51125",11151,490,1239,3672,1690,683,1911,1466,9422,3377,2.12331643363628,0.1256071685155
"51127",16472,239,868,4926,3799,1243,3673,1724,15365,5397,1.84448471098268,0.0590635408004994
